,movie,role,name,gender,id
0,Moonlight,star,Mahershala Ali,male,nm0991810
1,Moonlight,star,Shariff Earp,male,nm8401402
2,Moonlight,star,Duan Sanderson,male,nm5429086
3,Moonlight,star,Alex R. Hibbert,male,nm7683379
4,Moonlight,director,Barry Jenkins,male,nm1503575
5,Sing,star,Matthew McConaughey,male,nm0000190
6,Sing,star,Reese Witherspoon,female,nm0000702
7,Sing,star,Seth MacFarlane,male,nm0532235
8,Sing,star,Scarlett Johansson,female,nm0424060
9,Sing,director,Christophe Lourdelet,unknown,nm2888554
10,Sing,director,Garth Jennings,male,nm1134029
11,X-Men: Apocalypse,star,James McAvoy,male,nm0564215
12,X-Men: Apocalypse,star,Michael Fassbender,male,nm1055413
13,X-Men: Apocalypse,star,Jennifer Lawrence,female,nm2225369
14,X-Men: Apocalypse,star,Nicholas Hoult,male,nm0396558
15,X-Men: Apocalypse,director,Bryan Singer,male,nm0001741
16,Moana,star,Auli'i Cravalho,female,nm7635388
17,Moana,star,Dwayne Johnson,male,nm0425005
18,Moana,star,Rachel House,female,nm1344302
19,Moana,star,Temuera Morrison,male,nm0607325
20,Moana,director,Ron Clements,male,nm0166256
21,Moana,director,Don Hall,male,nm2320658
22,Moana,director,John Musker,male,nm0615780
23,Moana,director,Chris Williams,male,nm0930261
24,Hacksaw Ridge,star,Andrew Garfield,male,nm1940449
25,Hacksaw Ridge,star,Sam Worthington,male,nm0941777
26,Hacksaw Ridge,star,Luke Bracey,male,nm3478396
27,Hacksaw Ridge,star,Teresa Palmer,female,nm1954240
28,Hacksaw Ridge,director,Mel Gibson,male,nm0000154
29,La La Land,star,Ryan Gosling,male,nm0331516
30,La La Land,star,Emma Stone,female,nm1297015
31,La La Land,star,Rosemarie DeWitt,female,nm1679669
32,La La Land,star,J.K. Simmons,male,nm0799777
33,La La Land,director,Damien Chazelle,male,nm3227090
34,Manchester by the Sea,star,Casey Affleck,male,nm0000729
35,Manchester by the Sea,star,Michelle Williams,female,nm0931329
36,Manchester by the Sea,star,Kyle Chandler,male,nm0151419
37,Manchester by the Sea,star,Lucas Hedges,male,nm2348627
38,Manchester by the Sea,director,Kenneth Lonergan,male,nm0518836
39,Arrival,star,Amy Adams,female,nm0010736
40,Arrival,star,Jeremy Renner,male,nm0719637
41,Arrival,star,Forest Whitaker,male,nm0001845
42,Arrival,star,Michael Stuhlbarg,male,nm0836121
43,Arrival,director,Denis Villeneuve,male,nm0898288
44,Trolls,star,Anna Kendrick,female,nm0447695
45,Trolls,star,Justin Timberlake,male,nm0005493
46,Trolls,star,Zooey Deschanel,female,nm0221046
47,Trolls,star,Christopher Mintz-Plasse,male,nm2395586
48,Trolls,director,Walt Dohrn,male,nm0230666
49,Trolls,director,Mike Mitchell,male,nm0593610
50,Passengers,star,Jennifer Lawrence,female,nm2225369
51,Passengers,star,Chris Pratt,male,nm0695435
52,Passengers,star,Michael Sheen,male,nm0790688
53,Passengers,star,Laurence Fishburne,male,nm0000401
54,Passengers,director,Morten Tyldum,male,nm0878763
55,Split,star,James McAvoy,male,nm0564215
56,Split,star,Anya Taylor-Joy,female,nm5896355
57,Split,star,Haley Lu Richardson,female,nm4726634
58,Split,star,Jessica Sula,female,nm4088627
59,Split,director,M. Night Shyamalan,male,nm0796117
60,Doctor Strange,star,Benedict Cumberbatch,male,nm1212722
61,Doctor Strange,star,Chiwetel Ejiofor,male,nm0252230
62,Doctor Strange,star,Rachel McAdams,female,nm1046097
63,Doctor Strange,star,Benedict Wong,male,nm0938950
64,Doctor Strange,director,Scott Derrickson,male,nm0220600
65,Lion,star,Dev Patel,male,nm2353862
66,Lion,star,Nicole Kidman,female,nm0000173
67,Lion,star,Rooney Mara,female,nm1913734
68,Lion,star,Sunny Pawar,male,nm8061218
69,Lion,director,Garth Davis,male,nm0204628
70,Fantastic Beasts and Where to Find Them,star,Eddie Redmayne,male,nm1519666
71,Fantastic Beasts and Where to Find Them,star,Katherine Waterston,female,nm2239702
72,Fantastic Beasts and Where to Find Them,star,Alison Sudol,female,nm0837223
73,Fantastic Beasts and Where to Find Them,star,Dan Fogler,male,nm0283945
74,Fantastic Beasts and Where to Find Them,director,David Yates,male,nm0946734
75,The Promise,star,Oscar Isaac,male,nm1209966
76,The Promise,star,Christian Bale,male,nm0000288
77,The Promise,star,Shohreh Aghdashloo,female,nm0013037
78,The Promise,star,Angela Sarafyan,female,nm1494168
79,The Promise,director,Terry George,male,nm0313623
80,Nocturnal Animals,star,Amy Adams,female,nm0010736
81,Nocturnal Animals,star,Jake Gyllenhaal,male,nm0350453
82,Nocturnal Animals,star,Michael Shannon,male,nm0788335
83,Nocturnal Animals,star,Aaron Taylor-Johnson,male,nm1093951
84,Nocturnal Animals,director,Tom Ford,male,nm1053530
85,The Assignment,star,Michelle Rodriguez,female,nm0735442
86,The Assignment,star,Sigourney Weaver,female,nm0000244
87,The Assignment,star,Caitlin Gerard,female,nm3312826
88,The Assignment,star,Tony Shalhoub,male,nm0001724
89,The Assignment,director,Walter Hill,male,nm0001353
